,New_feature,Volume,Subjectivity,Sentiment,NIFTY50,NIFTY50_train_pred
19977,18248.0,365900.0,0.0,0.0,0.0,
16909,10583.0,189200.0,0.066666667,0.0,0.0,
14992,11867.0,541400.0,0.1,0.0,1.0,
16280,14591.0,623100.0,0.454545455,1.0,1.0,
8617,11011.0,511500.0,0.375,-1.0,1.0,1.0
6042,10783.0,396800.0,0.4,1.0,1.0,1.0
12182,9030.0,644000.0,0.0,0.0,0.0,1.0
18636,15792.0,246700.0,0.54,1.0,0.0,
19061,16570.0,297400.0,0.29,-1.0,1.0,
18506,14687.0,467800.0,0.0,0.0,1.0,
20716,17131.0,354600.0,0.5,1.0,0.0,
19636,17879.0,360100.0,0.75,1.0,1.0,
6724,11269.0,391300.0,0.525,1.0,1.0,1.0
6016,10766.0,279600.0,0.4,-1.0,1.0,1.0
6716,11623.0,246000.0,0.45,1.0,1.0,1.0
12397,9808.0,931200.0,0.417748918,1.0,1.0,1.0
15257,12085.0,632500.0,0.493506494,1.0,1.0,
16429,11529.0,844500.0,0.6,1.0,1.0,
17991,15329.0,0.0,0.0,0.0,1.0,
16815,15089.0,583900.0,0.0,0.0,1.0,
1978,10433.0,238600.0,0.0,0.0,1.0,1.0
11123,12086.0,538100.0,0.1,0.0,0.0,1.0
1444,10771.0,203100.0,0.6234375,1.0,1.0,1.0
12421,11260.0,797700.0,0.5,-1.0,0.0,1.0
15216,11776.0,674300.0,0.541666667,-1.0,1.0,
2312,10723.0,246000.0,0.05,1.0,0.0,1.0
15615,11662.0,568400.0,0.0,0.0,1.0,
1768,10600.0,238700.0,0.0625,0.0,0.0,1.0
20554,17751.0,395800.0,0.5,-1.0,1.0,
10178,12000.0,747200.0,0.6,1.0,1.0,1.0
10226,11932.0,603400.0,0.0,0.0,1.0,1.0
16832,14009.0,870500.0,0.3,1.0,1.0,
1490,10793.0,312300.0,0.0,0.0,1.0,1.0
4920,10797.0,376200.0,0.333333333,1.0,1.0,1.0
9821,11883.0,997700.0,0.0625,0.0,0.0,1.0
15725,12576.0,847500.0,0.195833333,-1.0,1.0,
12910,9406.0,687500.0,0.0,0.0,0.0,1.0
7727,11715.0,446900.0,0.7,-1.0,0.0,1.0
17750,15125.0,500100.0,0.25,1.0,1.0,
14861,11290.0,609900.0,0.4,-1.0,1.0,
19601,17565.0,295200.0,0.3,-1.0,0.0,
8094,11588.0,368800.0,1.0,-1.0,0.0,1.0
12065,12193.0,304100.0,0.3,1.0,1.0,1.0
4651,10723.0,424500.0,0.469642857,1.0,1.0,1.0
10820,12312.0,501000.0,0.833333333,-1.0,0.0,1.0
16019,13917.0,439600.0,0.65,1.0,1.0,
8856,11920.0,340500.0,0.125,0.0,0.0,1.0
11832,11426.0,282600.0,0.083333333,0.0,1.0,1.0
1657,10526.0,241700.0,0.233333333,0.0,1.0,1.0
9201,11496.0,629100.0,0.1,0.0,0.0,1.0
2864,10691.0,185200.0,0.0,0.0,1.0,1.0
5459,10898.0,276500.0,0.366666667,1.0,1.0,1.0
5936,10691.0,345400.0,0.266666667,1.0,0.0,1.0
2534,10660.0,325800.0,0.833333333,1.0,1.0,1.0
2185,10778.0,229800.0,0.833333333,1.0,1.0,1.0
18337,15771.0,287500.0,0.475324675,1.0,0.0,
3325,11677.0,313800.0,0.0,0.0,0.0,1.0
19620,17746.0,320500.0,0.46969697,1.0,1.0,
7445,11883.0,318100.0,0.733333333,1.0,0.0,1.0
12957,9029.0,742100.0,0.251666667,-1.0,0.0,1.0
17303,14192.0,559200.0,0.5,1.0,0.0,
5931,10637.0,291500.0,0.475,1.0,0.0,1.0
13530,10681.0,715900.0,0.6875,-1.0,1.0,1.0
4825,10507.0,381300.0,0.476565657,1.0,1.0,1.0
2128,10811.0,196600.0,0.5,1.0,0.0,1.0
10543,12169.0,520300.0,0.5,1.0,0.0,1.0
19886,18491.0,469900.0,0.3,1.0,1.0,
1012,10486.0,213100.0,0.433333333,1.0,0.0,1.0
8946,11110.0,538100.0,0.0,0.0,0.0,1.0
2090,10811.0,196600.0,0.5125,1.0,0.0,1.0
15817,13537.0,497600.0,0.333333333,1.0,1.0,
982,10486.0,213100.0,0.071428571,-1.0,0.0,1.0
9307,16259.0,240500.0,0.166666667,-1.0,1.0,1.0
7335,11803.0,569000.0,0.9,1.0,0.0,1.0
13707,11167.0,588100.0,0.0,0.0,0.0,1.0
4847,10398.0,0.0,0.1,1.0,0.0,1.0
14103,11428.0,626200.0,0.0,0.0,1.0,1.0
5280,10699.0,296600.0,0.44,-1.0,0.0,1.0
6947,11715.0,333500.0,0.428571429,1.0,1.0,1.0
13834,10037.0,775100.0,0.0,0.0,1.0,1.0
1247,10677.0,0.0,0.266666667,-1.0,1.0,1.0
13551,15900.0,284900.0,0.0,0.0,1.0,1.0
2076,10812.0,184300.0,0.4,1.0,0.0,1.0
1485,10900.0,271700.0,1.0,0.0,1.0,1.0
18988,16277.0,277900.0,0.866666667,1.0,1.0,
15398,13502.0,787700.0,0.0,0.0,1.0,
9472,11398.0,527400.0,0.0,0.0,1.0,1.0
3293,11717.0,251600.0,0.0,0.0,0.0,1.0
20524,17929.0,296400.0,0.4,-1.0,1.0,
915,10405.0,251700.0,0.55,1.0,0.0,1.0
14029,11325.0,579200.0,0.0,0.0,1.0,1.0
6691,11586.0,279800.0,0.0,0.0,1.0,1.0
11971,8536.0,865600.0,0.5,1.0,1.0,1.0
11823,9388.0,897700.0,0.0,0.0,0.0,1.0
19697,17659.0,295800.0,0.33,-1.0,1.0,
19281,16855.0,283500.0,0.220833333,0.0,1.0,
15697,13496.0,502600.0,0.347443182,1.0,1.0,
6521,11483.0,350400.0,0.1125,0.0,0.0,1.0
8989,11023.0,624300.0,0.0,0.0,0.0,1.0
16435,13786.0,753200.0,0.944444444,0.0,0.0,
8621,15826.0,0.0,0.0,0.0,1.0,1.0
13532,10916.0,373200.0,0.366666667,1.0,1.0,1.0
16634,15292.0,456000.0,0.351666667,1.0,0.0,
17846,15089.0,583900.0,0.6,1.0,1.0,
5799,10790.0,269400.0,0.3,1.0,0.0,1.0
